Language,ReviewText
Telugu,డబ్బు వృథా.
Tamil,நான் மிகவும் மகிழ்ச்சியாக இருக்கிறேன்.
Malayalam,ദയവായി ഇത് വാങ്ങരുത്.
Urdu,میں اس سے بہت مطمئن ہوں۔
Tamil,விநியோகம் நேரத்திற்கு வந்தது.
Hindi,यह पैसे की बर्बादी है।
Telugu,డబ్బు వృథా.
Tamil,விநியோகம் நேரத்திற்கு வந்தது.
Hindi,डिलीवरी समय पर हुई।
Malayalam,ദയവായി ഇത് വാങ്ങരുത്.
Punjabi,ਇਹ ਪੈਸਿਆਂ ਦੀ ਬਰਬਾਦੀ ਹੈ।
Gujarati,આ પૈસાની બરબાદી છે.
Hindi,कृपया इसे न खरीदें।
Kannada,ಈ ಉತ್ಪನ್ನವು ಅತ್ಯುತ್ತಮವಾಗಿದೆ.
Marathi,डिलिव्हरी वेळेवर झाली.
Kannada,ದಯವಿಟ್ಟು ಇದನ್ನು ಖರೀದಿಸಬೇಡಿ.
Telugu,నేను చాలా సంతృప్తిగా ఉన్నాను.
Urdu,ڈیلیوری وقت پر ہوئی۔
Assamese,মই খুব সন্তুষ্ট।
Urdu,یہ پروڈکٹ بہت اچھا ہے۔
Kannada,ಈ ಉತ್ಪನ್ನವು ಅತ್ಯುತ್ತಮವಾಗಿದೆ.
Telugu,డెలివరీ సమయానికి వచ్చింది.
Gujarati,કૃપા કરીને આ ન ખરીદો.
Bengali,দয়া করে এটি কিনবেন না।
Gujarati,કૃપા કરીને આ ન ખરીદો.
Assamese,এইটো টকাৰ অপচয়।
Odia,ଡିଲିଭେରି ସମୟରେ ହେଲା।
Malayalam,ഈ ഉത്പന്നം വളരെ നന്നായിരിക്കുന്നു.
Telugu,ఈ ఉత్పత్తి బాగుంది.
Hindi,मैं इससे बहुत संतुष्ट हूँ।
Malayalam,ഞാൻ അതിൽ സന്തുഷ്ടനാണ്.
Punjabi,ਡਿਲੀਵਰੀ ਸਮੇਂ ਤੇ ਹੋਈ।
Assamese,ডেলিভাৰী সময়মতো হৈছিল।
Marathi,मी खूप समाधानी आहे.
Odia,ଡିଲିଭେରି ସମୟରେ ହେଲା।
Marathi,हा उत्पादन खूप चांगला आहे.
Punjabi,ਕਿਰਪਾ ਕਰਕੇ ਇਹ ਨਾ ਖਰੀਦੋ।
Odia,ଏହି ପଣ୍ୟଟି ଖୁବ ଭଲ ଅଛି।
Odia,ଡିଲିଭେରି ସମୟରେ ହେଲା।
Tamil,விநியோகம் நேரத்திற்கு வந்தது.
Malayalam,ഡെലിവറി സമയത്ത് എത്തി.
Gujarati,કૃપા કરીને આ ન ખરીદો.
Urdu,براہ کرم اسے نہ خریدیں۔
Telugu,డెలివరీ సమయానికి వచ్చింది.
Bengali,ডেলিভারি সময়মতো হয়েছে।
Odia,ଏହା ଟଙ୍କାର ବ୍ୟର୍ଥ।
Malayalam,ഡെലിവറി സമയത്ത് എത്തി.
Telugu,డెలివరీ సమయానికి వచ్చింది.
Punjabi,ਕਿਰਪਾ ਕਰਕੇ ਇਹ ਨਾ ਖਰੀਦੋ।
Urdu,یہ پیسے کی بربادی ہے۔
Hindi,डिलीवरी समय पर हुई।
Punjabi,ਡਿਲੀਵਰੀ ਸਮੇਂ ਤੇ ਹੋਈ।
Tamil,பணம் வீணாகும்.
Odia,ମୁଁ ବହୁତ ସନ୍ତୁଷ୍ଟ।
Assamese,এই সামগ্ৰীটো অতি ভাল।
Kannada,ಹಣ ವ್ಯರ್ಥವಾಗಿದೆ.
Kannada,ಈ ಉತ್ಪನ್ನವು ಅತ್ಯುತ್ತಮವಾಗಿದೆ.
Malayalam,ദയവായി ഇത് വാങ്ങരുത്.
Odia,ଦୟାକରି ଏହାକୁ କିଣନ୍ତୁ ନାହିଁ।
Bengali,ডেলিভারি সময়মতো হয়েছে।
Telugu,డెలివరీ సమయానికి వచ్చింది.
Tamil,நான் மிகவும் மகிழ்ச்சியாக இருக்கிறேன்.
Gujarati,આ પ્રોડક્ટ બહુ સારું છે.
Punjabi,ਇਹ ਪੈਸਿਆਂ ਦੀ ਬਰਬਾਦੀ ਹੈ।
Assamese,এই সামগ্ৰীটো অতি ভাল।
Telugu,ఈ ఉత్పత్తి బాగుంది.
Hindi,यह पैसे की बर्बादी है।
Punjabi,ਕਿਰਪਾ ਕਰਕੇ ਇਹ ਨਾ ਖਰੀਦੋ।
Gujarati,ડિલિવરી સમય પર આવી.
Urdu,یہ پیسے کی بربادی ہے۔
Punjabi,ਡਿਲੀਵਰੀ ਸਮੇਂ ਤੇ ਹੋਈ।
Hindi,यह उत्पाद बहुत अच्छा है।
Gujarati,ડિલિવરી સમય પર આવી.
Kannada,ದಯವಿಟ್ಟು ಇದನ್ನು ಖರೀದಿಸಬೇಡಿ.
Assamese,এইটো টকাৰ অপচয়।
Urdu,ڈیلیوری وقت پر ہوئی۔
Kannada,ನಾನು ತುಂಬಾ ಸಂತೋಷಗೊಂಡಿದ್ದೇನೆ.
Punjabi,ਕਿਰਪਾ ਕਰਕੇ ਇਹ ਨਾ ਖਰੀਦੋ।
Gujarati,આ પૈસાની બરબાદી છે.
Odia,ଦୟାକରି ଏହାକୁ କିଣନ୍ତୁ ନାହିଁ।
Urdu,براہ کرم اسے نہ خریدیں۔
Assamese,ডেলিভাৰী সময়মতো হৈছিল।
Gujarati,ડિલિવરી સમય પર આવી.
Gujarati,આ પ્રોડક્ટ બહુ સારું છે.
Bengali,এটি টাকা নষ্ট।
Hindi,कृपया इसे न खरीदें।
Assamese,এই সামগ্ৰীটো অতি ভাল।
Bengali,আমি খুব সন্তুষ্ট।
Odia,ଏହି ପଣ୍ୟଟି ଖୁବ ଭଲ ଅଛି।
Gujarati,આ પૈસાની બરબાદી છે.
Hindi,डिलीवरी समय पर हुई।
Punjabi,ਮੈਂ ਇਸ ਨਾਲ ਬਹੁਤ ਖੁਸ਼ ਹਾਂ।
Punjabi,ਕਿਰਪਾ ਕਰਕੇ ਇਹ ਨਾ ਖਰੀਦੋ।
Telugu,ఈ ఉత్పత్తి బాగుంది.
Hindi,मैं इससे बहुत संतुष्ट हूँ।
Punjabi,ਡਿਲੀਵਰੀ ਸਮੇਂ ਤੇ ਹੋਈ।
Odia,ଏହା ଟଙ୍କାର ବ୍ୟର୍ଥ।
Gujarati,આ પૈસાની બરબાદી છે.
Marathi,हे पैशांची नासाडी आहे.
Odia,ଡିଲିଭେରି ସମୟରେ ହେଲା।
Urdu,یہ پروڈکٹ بہت اچھا ہے۔
Malayalam,ഈ ഉത്പന്നം വളരെ നന്നായിരിക്കുന്നു.
Urdu,میں اس سے بہت مطمئن ہوں۔
Marathi,हे पैशांची नासाडी आहे.
Telugu,ఈ ఉత్పత్తి బాగుంది.
Marathi,डिलिव्हरी वेळेवर झाली.
Bengali,এই পণ্যটি খুব ভালো।
Marathi,कृपया हे खरेदी करू नका.
Kannada,ಡಿಲಿವರಿ ಸಮಯಕ್ಕೆ ಬಂದಿದೆ.
